suite_id,app_id,benchmark_name,attempt_round,strategy,path_checked,command,exit_code,timeout,log_path,data_status,command_status,blocker_after,notes
rodinia,rodinia_streamcluster,streamcluster,round1,data_probe_1,/workspace/repos/gpgpu-workloads/suites/rodinia/data,"if [ -e ""/workspace/repos/gpgpu-workloads/suites/rodinia/data"" ]; then find ""/workspace/repos/gpgpu-workloads/suites/rodinia/data"" -maxdepth 3 -type f | sed -n ""1,80p""; else echo missing:/workspace/repos/gpgpu-workloads/suites/rodinia/data; fi",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_streamcluster_round1_data_probe_1.log,data_available,command_unverified,command_verification_needed,1 files
rodinia,rodinia_streamcluster,streamcluster,round2,data_probe_2,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/streamcluster/data,"if [ -e ""/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/streamcluster/data"" ]; then find ""/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/streamcluster/data"" -maxdepth 3 -type f | sed -n ""1,80p""; else echo missing:/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/streamcluster/data; fi",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_streamcluster_round2_data_probe_2.log,missing_or_unverified_data,command_unverified,missing_or_unverified_data,0 files
parboil,parboil_bfs,bfs,round1,data_probe_1,/workspace/repos/gpgpu-workloads/suites/parboil/datasets/bfs,"if [ -e ""/workspace/repos/gpgpu-workloads/suites/parboil/datasets/bfs"" ]; then find ""/workspace/repos/gpgpu-workloads/suites/parboil/datasets/bfs"" -maxdepth 3 -type f | sed -n ""1,80p""; else echo missing:/workspace/repos/gpgpu-workloads/suites/parboil/datasets/bfs; fi",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_bfs_round1_data_probe_1.log,missing_or_unverified_data,unknown,missing_or_unverified_data,0 files
parboil,parboil_bfs,bfs,round2,data_probe_2,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/bfs/datasets,"if [ -e ""/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/bfs/datasets"" ]; then find ""/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/bfs/datasets"" -maxdepth 3 -type f | sed -n ""1,80p""; else echo missing:/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/bfs/datasets; fi",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_bfs_round2_data_probe_2.log,missing_or_unverified_data,unknown,missing_or_unverified_data,0 files
parboil,parboil_cp,cp,round1,data_probe_1,/workspace/repos/gpgpu-workloads/suites/parboil/datasets/cp,"if [ -e ""/workspace/repos/gpgpu-workloads/suites/parboil/datasets/cp"" ]; then find ""/workspace/repos/gpgpu-workloads/suites/parboil/datasets/cp"" -maxdepth 3 -type f | sed -n ""1,80p""; else echo missing:/workspace/repos/gpgpu-workloads/suites/parboil/datasets/cp; fi",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_cp_round1_data_probe_1.log,missing_or_unverified_data,unknown,missing_or_unverified_data,0 files
parboil,parboil_cp,cp,round2,data_probe_2,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cp/datasets,"if [ -e ""/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cp/datasets"" ]; then find ""/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cp/datasets"" -maxdepth 3 -type f | sed -n ""1,80p""; else echo missing:/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cp/datasets; fi",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_cp_round2_data_probe_2.log,missing_or_unverified_data,unknown,missing_or_unverified_data,0 files
parboil,parboil_cutcp,cutcp,round1,data_probe_1,/workspace/repos/gpgpu-workloads/suites/parboil/datasets/cutcp,"if [ -e ""/workspace/repos/gpgpu-workloads/suites/parboil/datasets/cutcp"" ]; then find ""/workspace/repos/gpgpu-workloads/suites/parboil/datasets/cutcp"" -maxdepth 3 -type f | sed -n ""1,80p""; else echo missing:/workspace/repos/gpgpu-workloads/suites/parboil/datasets/cutcp; fi",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_cutcp_round1_data_probe_1.log,missing_or_unverified_data,unknown,missing_or_unverified_data,0 files
parboil,parboil_cutcp,cutcp,round2,data_probe_2,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cutcp/datasets,"if [ -e ""/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cutcp/datasets"" ]; then find ""/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cutcp/datasets"" -maxdepth 3 -type f | sed -n ""1,80p""; else echo missing:/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cutcp/datasets; fi",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_cutcp_round2_data_probe_2.log,missing_or_unverified_data,unknown,missing_or_unverified_data,0 files
parboil,parboil_fft,fft,round1,data_probe_1,/workspace/repos/gpgpu-workloads/suites/parboil/datasets/fft,"if [ -e ""/workspace/repos/gpgpu-workloads/suites/parboil/datasets/fft"" ]; then find ""/workspace/repos/gpgpu-workloads/suites/parboil/datasets/fft"" -maxdepth 3 -type f | sed -n ""1,80p""; else echo missing:/workspace/repos/gpgpu-workloads/suites/parboil/datasets/fft; fi",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_fft_round1_data_probe_1.log,missing_or_unverified_data,unknown,missing_or_unverified_data,0 files
parboil,parboil_fft,fft,round2,data_probe_2,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/fft/datasets,"if [ -e ""/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/fft/datasets"" ]; then find ""/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/fft/datasets"" -maxdepth 3 -type f | sed -n ""1,80p""; else echo missing:/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/fft/datasets; fi",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_fft_round2_data_probe_2.log,missing_or_unverified_data,unknown,missing_or_unverified_data,0 files
