kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mascar_m3_diag.1.sm_70.ptx 94 : 98304 983040 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 36 : 4096 47104 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 95 : 98304 884736 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 37 : 4096 47104 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 96 : 98304 589824 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 38 : 4096 53248 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 97 : 98304 884736 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 39 : 4096 56320 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 98 : 98304 884736 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 40 : 4096 52224 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 99 : 98304 2453184 0 0 0 14976 3072 0 0 
mascar_m3_diag.1.sm_70.ptx 41 : 4096 49152 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 100 : 98304 983040 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 42 : 4096 24576 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 43 : 4096 24576 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 44 : 4096 24576 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 67 : 98304 983040 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 68 : 98304 14745600 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 69 : 98304 884736 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 70 : 98304 884736 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 71 : 98304 26182336 0 0 0 98304 3072 0 0 
mascar_m3_diag.1.sm_70.ptx 72 : 98304 884736 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 73 : 98304 589824 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 74 : 98304 589824 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 75 : 98304 589824 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 76 : 98304 0 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 78 : 98304 884736 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 79 : 98304 688128 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 210 : 4096 16384 0 0 0 512 128 0 0 
mascar_m3_diag.1.sm_70.ptx 83 : 98304 884736 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 211 : 4096 20480 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 84 : 98304 589824 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 85 : 98304 884736 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 86 : 98304 884736 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 87 : 98304 3889536 0 0 0 14976 3072 0 0 
mascar_m3_diag.1.sm_70.ptx 88 : 98304 983040 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 89 : 98304 884736 0 0 0 0 0 0 0 
mascar_m3_diag.1.sm_70.ptx 90 : 98304 589824 0 0 0 0 0 0 0 
