paper_id,mode,wrapper_path,w17_update_status,phase_mapping_status,exit_code,timeout,status,log_path,notes
"srad_1","actual","experiments/paper-mascar/workloads/wrappers/run_srad_1.sh","app_level_ready_phase_pending","app_level_pending_kernel_trace","0","0","actual_pass","/workspace/tmp/mascar_w17c_actual_smoke_fixed_20260605_135121/srad_1_actual.log",""
"srad_2","dry-run","experiments/paper-mascar/workloads/wrappers/run_srad_2.sh","app_level_ready_phase_pending","app_level_pending_kernel_trace","0","0","dry_run_pass","/workspace/tmp/mascar_w17c_actual_smoke_fixed_20260605_135121/srad_2_dry_run.log",""
"srad_2","actual","experiments/paper-mascar/workloads/wrappers/run_srad_2.sh","app_level_ready_phase_pending","app_level_pending_kernel_trace","0","0","actual_pass","/workspace/tmp/mascar_w17c_actual_smoke_fixed_20260605_135121/srad_2_actual.log",""
"bp_1","dry-run","experiments/paper-mascar/workloads/wrappers/run_bp_1.sh","app_level_ready_phase_pending","app_level_pending_kernel_trace","0","0","dry_run_pass","/workspace/tmp/mascar_w17c_actual_smoke_fixed_20260605_135121/bp_1_dry_run.log",""
"bp_1","actual","experiments/paper-mascar/workloads/wrappers/run_bp_1.sh","app_level_ready_phase_pending","app_level_pending_kernel_trace","0","0","actual_pass","/workspace/tmp/mascar_w17c_actual_smoke_fixed_20260605_135121/bp_1_actual.log",""
"cutcp","dry-run","experiments/paper-mascar/workloads/wrappers/run_cutcp.sh","still_missing_binary","unavailable","0","0","dry_run_pass","/workspace/tmp/mascar_w17c_actual_smoke_fixed_20260605_135121/cutcp_dry_run.log",""
"histo_2","dry-run","experiments/paper-mascar/workloads/wrappers/run_histo_2.sh","app_level_ready_phase_pending","app_level_pending_kernel_trace","0","0","dry_run_pass","/workspace/tmp/mascar_w17c_actual_smoke_fixed_20260605_135121/histo_2_dry_run.log",""
"histo_2","actual","experiments/paper-mascar/workloads/wrappers/run_histo_2.sh","app_level_ready_phase_pending","app_level_pending_kernel_trace","0","0","actual_pass","/workspace/tmp/mascar_w17c_actual_smoke_fixed_20260605_135121/histo_2_actual.log",""
"histogram","dry-run","experiments/paper-mascar/workloads/wrappers/run_histogram.sh","still_missing_source","unavailable","0","0","dry_run_pass","/workspace/tmp/mascar_w17c_actual_smoke_fixed_20260605_135121/histogram_dry_run.log",""
"kmeans_2","dry-run","experiments/paper-mascar/workloads/wrappers/run_kmeans_2.sh","app_level_ready_phase_pending","app_level_pending_kernel_trace","0","0","dry_run_pass","/workspace/tmp/mascar_w17c_actual_smoke_fixed_20260605_135121/kmeans_2_dry_run.log",""
