run_id,config_id,config_path,paper_id,paper_name,paper_type,wrapper_path,wrapper_status,run_dir,timeout_sec,exit_code,timeout,result_status_prelim,start_iso,end_iso,elapsed_sec,notes
"m3_hitonly_nack__spmv","m3_hitonly_nack","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_m3_hitonly_nack_on","spmv","spmv","M","experiments/paper-mascar/workloads/matrix/W7/wrappers/run_spmv_w7.sh","ready","experiments/paper-mascar/workloads/results/W9/w9_attempt3_actual/runs/m3_hitonly_nack/spmv","1200","0","0","completed_exit0","2026-06-05T02:44:41+08:00","2026-06-05T02:49:57+08:00","316","W9 attempt3: retained W7 large input as control; W9 attempt3_pathfinder_512: W7 iter1 reuses the larger W5C sparse matrix instead of W6 iter2 256x256 input to increase irregular load pressure"
"m3_hitonly_nack__mri_q","m3_hitonly_nack","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_m3_hitonly_nack_on","mri_q","mri-q","C","experiments/paper-mascar/workloads/matrix/W7/wrappers/run_mri_q_w7.sh","ready","experiments/paper-mascar/workloads/results/W9/w9_attempt3_actual/runs/m3_hitonly_nack/mri_q","1200","0","0","completed_exit0","2026-06-05T02:49:57+08:00","2026-06-05T02:50:07+08:00","10","W9 attempt3: retained W7 large input as control; W9 attempt3_pathfinder_512: W7 iter1 reuses larger W5C MRI-Q input for sanity; compute-heavy workload is not over-stressed"
"m3_hitonly_nack__pathfinder","m3_hitonly_nack","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_m3_hitonly_nack_on","pathfinder","pathfinder","C","experiments/paper-mascar/workloads/matrix/W7/wrappers/run_pathfinder_w7.sh","ready","experiments/paper-mascar/workloads/results/W9/w9_attempt3_actual/runs/m3_hitonly_nack/pathfinder","1200","0","0","completed_exit0","2026-06-05T02:50:07+08:00","2026-06-05T02:52:42+08:00","155","W9 attempt3: pathfinder dimensions doubled again to increase concurrent memory pressure and search for M3 non-owner hit-only activation"
"m4_reexec_load__spmv","m4_reexec_load","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_m4_reexec_load_on","spmv","spmv","M","experiments/paper-mascar/workloads/matrix/W7/wrappers/run_spmv_w7.sh","ready","experiments/paper-mascar/workloads/results/W9/w9_attempt3_actual/runs/m4_reexec_load/spmv","1200","0","0","completed_exit0","2026-06-05T02:52:42+08:00","2026-06-05T02:57:56+08:00","314","W9 attempt3: retained W7 large input as control; W9 attempt3_pathfinder_512: W7 iter1 reuses the larger W5C sparse matrix instead of W6 iter2 256x256 input to increase irregular load pressure"
"m4_reexec_load__mri_q","m4_reexec_load","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_m4_reexec_load_on","mri_q","mri-q","C","experiments/paper-mascar/workloads/matrix/W7/wrappers/run_mri_q_w7.sh","ready","experiments/paper-mascar/workloads/results/W9/w9_attempt3_actual/runs/m4_reexec_load/mri_q","1200","0","0","completed_exit0","2026-06-05T02:57:56+08:00","2026-06-05T02:58:06+08:00","10","W9 attempt3: retained W7 large input as control; W9 attempt3_pathfinder_512: W7 iter1 reuses larger W5C MRI-Q input for sanity; compute-heavy workload is not over-stressed"
"m4_reexec_load__pathfinder","m4_reexec_load","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_m4_reexec_load_on","pathfinder","pathfinder","C","experiments/paper-mascar/workloads/matrix/W7/wrappers/run_pathfinder_w7.sh","ready","experiments/paper-mascar/workloads/results/W9/w9_attempt3_actual/runs/m4_reexec_load/pathfinder","1200","0","0","completed_exit0","2026-06-05T02:58:06+08:00","2026-06-05T03:00:41+08:00","155","W9 attempt3: pathfinder dimensions doubled again to increase concurrent memory pressure and search for M3 non-owner hit-only activation"
