run_id,config_id,config_path,paper_id,paper_name,paper_type,wrapper_path,wrapper_status,run_dir,timeout_sec,exit_code,timeout,result_status_prelim,start_iso,end_iso,elapsed_sec,notes
"energy_baseline_off__spmv","energy_baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_energy_baseline_off","spmv","spmv","M","experiments/paper-mascar/energy/W16C/wrappers/run_spmv_energy.sh","ready","/workspace/repos/gpgpu-sim_distribution/experiments/paper-mascar/energy/W16C/results/w16_energy_actual/runs/energy_baseline_off/spmv","1800","0","0","completed_exit0","2026-06-05T11:18:47+08:00","2026-06-05T11:21:34+08:00","167","W16 energy smoke using local Parboil SpMV tiny wrapper"
"energy_baseline_off__mri_q","energy_baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_energy_baseline_off","mri_q","mri-q","C","experiments/paper-mascar/energy/W16C/wrappers/run_mri_q_energy.sh","ready","/workspace/repos/gpgpu-sim_distribution/experiments/paper-mascar/energy/W16C/results/w16_energy_actual/runs/energy_baseline_off/mri_q","1800","0","0","completed_exit0","2026-06-05T11:21:34+08:00","2026-06-05T11:21:39+08:00","5","W16 energy smoke using local Parboil MRI-Q tiny wrapper"
"energy_baseline_off__pathfinder","energy_baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_energy_baseline_off","pathfinder","pathfinder","C","experiments/paper-mascar/energy/W16C/wrappers/run_pathfinder_energy.sh","ready","/workspace/repos/gpgpu-sim_distribution/experiments/paper-mascar/energy/W16C/results/w16_energy_actual/runs/energy_baseline_off/pathfinder","1800","0","0","completed_exit0","2026-06-05T11:21:39+08:00","2026-06-05T11:22:13+08:00","34","W16 energy smoke using local Rodinia Pathfinder tiny wrapper"
"energy_m4_reexec_load__spmv","energy_m4_reexec_load","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_energy_m4_reexec_load_on","spmv","spmv","M","experiments/paper-mascar/energy/W16C/wrappers/run_spmv_energy.sh","ready","/workspace/repos/gpgpu-sim_distribution/experiments/paper-mascar/energy/W16C/results/w16_energy_actual/runs/energy_m4_reexec_load/spmv","1800","0","0","completed_exit0","2026-06-05T11:22:13+08:00","2026-06-05T11:25:00+08:00","167","W16 energy smoke using local Parboil SpMV tiny wrapper"
"energy_m4_reexec_load__mri_q","energy_m4_reexec_load","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_energy_m4_reexec_load_on","mri_q","mri-q","C","experiments/paper-mascar/energy/W16C/wrappers/run_mri_q_energy.sh","ready","/workspace/repos/gpgpu-sim_distribution/experiments/paper-mascar/energy/W16C/results/w16_energy_actual/runs/energy_m4_reexec_load/mri_q","1800","0","0","completed_exit0","2026-06-05T11:25:00+08:00","2026-06-05T11:25:05+08:00","5","W16 energy smoke using local Parboil MRI-Q tiny wrapper"
"energy_m4_reexec_load__pathfinder","energy_m4_reexec_load","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_energy_m4_reexec_load_on","pathfinder","pathfinder","C","experiments/paper-mascar/energy/W16C/wrappers/run_pathfinder_energy.sh","ready","/workspace/repos/gpgpu-sim_distribution/experiments/paper-mascar/energy/W16C/results/w16_energy_actual/runs/energy_m4_reexec_load/pathfinder","1800","0","0","completed_exit0","2026-06-05T11:25:05+08:00","2026-06-05T11:25:39+08:00","34","W16 energy smoke using local Rodinia Pathfinder tiny wrapper"
